Month,System,Data_Domain,Completeness_Score,Accuracy_Score,Data_Quality_Issues,Regulatory_Compliance_Score
2023-07-31,SAP_ERP,Revenue,0.875,0.889,0,0.957
2023-07-31,SAP_ERP,Costs,0.9,0.969,0,0.955
2023-07-31,SAP_ERP,Passenger_Data,0.947,0.884,8,0.954
2023-07-31,Oracle_Financials,Revenue,0.946,0.931,10,0.984
2023-07-31,Oracle_Financials,Costs,0.859,0.908,0,0.926
2023-07-31,Oracle_Financials,Passenger_Data,0.934,0.979,14,0.946
2023-07-31,Data_Warehouse,Revenue,0.918,0.942,6,0.957
2023-07-31,Data_Warehouse,Costs,0.951,0.886,10,0.938
2023-07-31,Data_Warehouse,Passenger_Data,0.95,0.97,13,0.972
2023-08-31,SAP_ERP,Revenue,0.854,0.967,5,0.957
2023-08-31,SAP_ERP,Costs,0.884,0.907,4,0.933
2023-08-31,SAP_ERP,Passenger_Data,0.929,0.964,5,0.943
2023-08-31,Oracle_Financials,Revenue,0.867,0.969,3,0.953
2023-08-31,Oracle_Financials,Costs,0.9,0.945,1,0.926
2023-08-31,Oracle_Financials,Passenger_Data,0.925,0.939,7,0.961
2023-08-31,Data_Warehouse,Revenue,0.929,0.918,4,0.945
2023-08-31,Data_Warehouse,Costs,0.94,0.937,7,0.955
2023-08-31,Data_Warehouse,Passenger_Data,0.896,0.973,4,0.927
2023-09-30,SAP_ERP,Revenue,0.871,0.905,3,0.98
2023-09-30,SAP_ERP,Costs,0.862,0.961,7,0.983
2023-09-30,SAP_ERP,Passenger_Data,0.861,0.932,7,0.969
2023-09-30,Oracle_Financials,Revenue,0.99,0.97,3,0.988
2023-09-30,Oracle_Financials,Costs,0.971,0.962,0,0.954
2023-09-30,Oracle_Financials,Passenger_Data,0.951,0.962,1,0.959
2023-09-30,Data_Warehouse,Revenue,0.93,0.908,11,0.934
2023-09-30,Data_Warehouse,Costs,0.986,0.951,3,0.956
2023-09-30,Data_Warehouse,Passenger_Data,0.884,0.891,9,0.974
2023-10-31,SAP_ERP,Revenue,0.862,0.931,14,0.954
2023-10-31,SAP_ERP,Costs,0.925,0.885,1,0.952
2023-10-31,SAP_ERP,Passenger_Data,0.927,0.935,1,0.943
2023-10-31,Oracle_Financials,Revenue,0.963,0.905,4,0.92
2023-10-31,Oracle_Financials,Costs,0.866,0.927,5,0.949
2023-10-31,Oracle_Financials,Passenger_Data,0.899,0.973,13,0.972
2023-10-31,Data_Warehouse,Revenue,0.907,0.973,10,0.986
2023-10-31,Data_Warehouse,Costs,0.875,0.887,7,0.971
2023-10-31,Data_Warehouse,Passenger_Data,0.857,0.958,10,0.976
2023-11-30,SAP_ERP,Revenue,0.878,0.896,4,0.933
2023-11-30,SAP_ERP,Costs,0.883,0.943,13,0.945
2023-11-30,SAP_ERP,Passenger_Data,0.973,0.919,7,0.952
2023-11-30,Oracle_Financials,Revenue,0.95,0.97,12,0.941
2023-11-30,Oracle_Financials,Costs,0.955,0.93,8,0.945
2023-11-30,Oracle_Financials,Passenger_Data,0.905,0.933,4,0.983
2023-11-30,Data_Warehouse,Revenue,0.937,0.892,5,0.943
2023-11-30,Data_Warehouse,Costs,0.952,0.949,3,0.976
2023-11-30,Data_Warehouse,Passenger_Data,0.937,0.933,6,0.96
2023-12-31,SAP_ERP,Revenue,0.99,0.955,12,0.937
2023-12-31,SAP_ERP,Costs,0.954,0.883,5,0.97
2023-12-31,SAP_ERP,Passenger_Data,0.919,0.955,5,0.977
2023-12-31,Oracle_Financials,Revenue,0.865,0.965,7,0.962
2023-12-31,Oracle_Financials,Costs,0.92,0.934,12,0.936
2023-12-31,Oracle_Financials,Passenger_Data,0.951,0.952,14,0.962
2023-12-31,Data_Warehouse,Revenue,0.929,0.952,10,0.944
2023-12-31,Data_Warehouse,Costs,0.875,0.971,5,0.936
2023-12-31,Data_Warehouse,Passenger_Data,0.909,0.909,10,0.931
